,0
952,76.16
953,76.24
954,76.32000000000001
955,76.4
956,76.48
957,76.56
958,76.64
959,76.72
960,76.8
961,76.88
962,76.96000000000001
963,77.04
964,77.12
965,77.2
966,77.28
967,77.36
968,77.44
969,77.52
970,77.60000000000001
971,77.68
972,77.76
973,77.84
974,77.92
975,78.0
976,78.08
977,78.16
978,78.24
979,78.32000000000001
980,78.4
981,78.48
982,78.56
983,78.64
984,78.72
985,78.8
986,78.88
987,78.96000000000001
988,79.04
989,79.12
990,79.2
991,79.28
992,79.36
993,79.44
994,79.52
995,79.60000000000001
996,79.68
997,79.76
998,79.84
999,79.92
1000,80.0
1001,80.08
1002,80.16
1003,80.24
1004,80.32000000000001
1005,80.4
1006,80.48
1007,80.56
1008,80.64
1009,80.72
1010,80.8
1011,80.88
1012,80.96000000000001
1013,81.04
1014,81.12
1015,81.2
1016,81.28
1017,81.36
1018,81.44
1019,81.52
1020,81.60000000000001
1021,81.68
1022,81.76
1023,81.84
1024,81.92
1025,82.0
1026,82.08
1027,82.16
1028,82.24
1029,82.32000000000001
1030,82.4
1031,82.48
1032,82.56
1033,82.64
1034,82.72
1035,82.8
1036,82.88
1037,82.96000000000001
1038,83.04
1039,83.12
1040,83.2
1041,83.28
1042,83.36
1043,83.44
1044,83.52
1045,83.60000000000001
1046,83.68
1047,83.76
1048,83.84
1049,83.92
1050,84.0
1051,84.08
1052,84.16
1053,84.24
1054,84.32000000000001
1055,84.4
1056,84.48
1057,84.56
1058,84.64
1059,84.72
1060,84.8
1061,84.88
1062,84.96000000000001
1063,85.04
1064,85.12
1065,85.2
1066,85.28
1067,85.36
1068,85.44
1069,85.52
1070,85.60000000000001
1071,85.68
1072,85.76
1073,85.84
1074,85.92
1075,86.0
1076,86.08
1077,86.16
1078,86.24
1079,86.32000000000001
1080,86.4
1081,86.48
1082,86.56
1083,86.64
1084,86.72
1085,86.8
1086,86.88
1087,86.96000000000001
1088,87.04
1089,87.12
1090,87.2
1091,87.28
1092,87.36
1093,87.44
1094,87.52
1095,87.60000000000001
1096,87.68
1097,87.76
1098,87.84
1099,87.92
1100,88.0
1101,88.08
1102,88.16
1103,88.24
1104,88.32000000000001
1105,88.4
1106,88.48
1107,88.56
1108,88.64
1109,88.72
1110,88.8
1111,88.88
1112,88.96000000000001
1113,89.04
1114,89.12
1115,89.2
1116,89.28
1117,89.36
1118,89.44
1119,89.52
1120,89.60000000000001
1121,89.68
1122,89.76
1123,89.84
1124,89.92
1125,90.0
1126,90.08
1127,90.16
1128,90.24
1129,90.32000000000001
1130,90.4
1131,90.48
1132,90.56
1133,90.64
1134,90.72
1135,90.8
1136,90.88
1137,90.96000000000001
1138,91.04
1139,91.12
1140,91.2
1141,91.28
1142,91.36
1143,91.44
1144,91.52
1145,91.60000000000001
1146,91.68
1147,91.76
1148,91.84
1149,91.92
1150,92.0
1151,92.08
1152,92.16
1153,92.24
1154,92.32000000000001
1155,92.4
1156,92.48
1157,92.56
1158,92.64
1159,92.72
1160,92.8
1161,92.88
1162,92.96000000000001
1163,93.04
1164,93.12
1165,93.2
1166,93.28
1167,93.36
1168,93.44
1169,93.52
1170,93.60000000000001
1171,93.68
1172,93.76
1173,93.84
1174,93.92
1175,94.0
1176,94.08
1177,94.16
1178,94.24
1179,94.32000000000001
1180,94.4
1181,94.48
1182,94.56
1183,94.64
1184,94.72
1185,94.8
1186,94.88
1187,94.96000000000001
1188,95.04
1189,95.12
1190,95.2
1191,95.28
1192,95.36
1193,95.44
1194,95.52
1195,95.60000000000001
1196,95.68
1197,95.76
1198,95.84
1199,95.92
1200,96.0
1201,96.08
1202,96.16
1203,96.24000000000001
1204,96.32000000000001
1205,96.4
1206,96.48
1207,96.56
1208,96.64
1209,96.72
1210,96.8
1211,96.88
1212,96.96000000000001
1213,97.04
1214,97.12
1215,97.2
1216,97.28
1217,97.36
1218,97.44
1219,97.52
1220,97.60000000000001
1221,97.68
1222,97.76
1223,97.84
1224,97.92
1225,98.0
1226,98.08
1227,98.16
1228,98.24000000000001
1229,98.32000000000001
1230,98.4
1231,98.48
1232,98.56
